"time/s";"Ewe/V";"Ece/V";"Ewe-Ece/V";"I/mA";"(Q-Qo)/mA.h";"Q charge/mA.h";"Q discharge/mA.h";"cycle number";"Efficiency/%";"|Ewe|/V";"|Ece|/V";"freq/Hz";"Re(Z)/Ohm";"-Im(Z)/Ohm";"|Z|/Ohm";"Phase(Z)/deg"
0;-2,354409694671631E+000;-3,511290550231934E-001;-2,003280639648438E+000;0,000000000000000E+000;0,000000000000000E+000;0,000000000000000E+000;0,000000000000000E+000;0,000000000000000E+000;;;;;;;;
300,0002;-2,354333400726318E+000;-3,510527312755585E-001;-2,003280639648438E+000;0,000000000000000E+000;0,000000000000000E+000;0,000000000000000E+000;0,000000000000000E+000;0,000000000000000E+000;;;;;;;;
600,0004;-2,349219799041748E+000;-3,459970355033875E-001;-2,003222703933716E+000;0,000000000000000E+000;0,000000000000000E+000;0,000000000000000E+000;0,000000000000000E+000;0,000000000000000E+000;;;;;;;;
900,0006;-2,344449520111084E+000;-3,412083983421326E-001;-2,003241062164307E+000;0,000000000000000E+000;0,000000000000000E+000;0,000000000000000E+000;0,000000000000000E+000;0,000000000000000E+000;;;;;;;;
1200;-2,313462018966675E+000;-3,095958530902863E-001;-2,003866195678711E+000;0,000000000000000E+000;0,000000000000000E+000;0,000000000000000E+000;0,000000000000000E+000;0,000000000000000E+000;;;;;;;;
1200,0002;-2,343473434448242E+000;-3,055156469345093E-001;-2,037957668304443E+000;-1,065517833924081E+001;-5,919543372260200E-007;0,000000000000000E+000;5,919543372260200E-007;0,000000000000000E+000;;;;;;;;
1230,0002;-2,461129903793335E+000;-3,065242469310761E-001;-2,154605627059937E+000;-1,103051495160753E+001;-9,192154756228130E-002;0,000000000000000E+000;9,192154756228130E-002;0,000000000000000E+000;;;;;;;;
1260,0002;-2,458801984786987E+000;-2,959167659282684E-001;-2,162885189056396E+000;-1,103067167501542E+001;-1,838438091985914E-001;0,000000000000000E+000;1,838438091985914E-001;0,000000000000000E+000;;;;;;;;
1290,0002;-2,475440740585327E+000;-3,068676590919495E-001;-2,168573141098022E+000;-1,103083197496276E+001;-2,757674066677623E-001;0,000000000000000E+000;2,757674066677623E-001;0,000000000000000E+000;;;;;;;;
1320,0002;-2,482080936431885E+000;-3,089281022548676E-001;-2,173152923583984E+000;-1,103076194794658E+001;-3,676904205784798E-001;0,000000000000000E+000;3,676904205784798E-001;0,000000000000000E+000;;;;;;;;
1350,0002;-2,481909036636353E+000;-3,048453629016876E-001;-2,177063703536987E+000;-1,103086613162307E+001;-4,596143026864793E-001;0,000000000000000E+000;4,596143026864794E-001;0,000000000000000E+000;;;;;;;;
1380,0002;-2,480974197387695E+000;-3,004764616489410E-001;-2,180497646331787E+000;-1,103070194891145E+001;-5,515368166052500E-001;0,000000000000000E+000;5,515368166052501E-001;0,000000000000000E+000;;;;;;;;
1410,0002;-2,492365598678589E+000;-3,086037635803223E-001;-2,183761835098267E+000;-1,103069137311442E+001;-6,434592423923811E-001;0,000000000000000E+000;6,434592423923811E-001;0,000000000000000E+000;;;;;;;;
1440,0002;-2,491201639175415E+000;-3,046927452087402E-001;-2,186508893966675E+000;-1,103064816118910E+001;-7,353813080801433E-001;0,000000000000000E+000;7,353813080801435E-001;0,000000000000000E+000;;;;;;;;
1470,0002;-2,503432512283325E+000;-3,140410482883453E-001;-2,189391374588013E+000;-1,103067001843223E+001;-8,273035559115940E-001;0,000000000000000E+000;8,273035559115940E-001;0,000000000000000E+000;;;;;;;;
1500,0002;-2,502020597457886E+000;-3,099583387374878E-001;-2,192062377929688E+000;-1,103068828263735E+001;-9,192259559447501E-001;0,000000000000000E+000;9,192259559447501E-001;0,000000000000000E+000;;;;;;;;
1530,0002;-2,505340576171875E+000;-3,108359277248383E-001;-2,194504737854004E+000;-1,103062460885340E+001;-1,011147825363053E+000;0,000000000000000E+000;1,011147825363053E+000;0,000000000000000E+000;;;;;;;;
1560,0002;-2,507687568664551E+000;-3,107405304908752E-001;-2,196947097778320E+000;-1,103055310186179E+001;-1,103069098889775E+000;0,000000000000000E+000;1,103069098889775E+000;0,000000000000000E+000;;;;;;;;
1590,0002;-2,507744789123535E+000;-3,085656166076660E-001;-2,199179172515869E+000;-1,103040893553481E+001;-1,194989171030468E+000;0,000000000000000E+000;1,194989171030468E+000;0,000000000000000E+000;;;;;;;;
